amount,total,price,type
0.00418,27.147280000000045,43045.0,buy
0.0007,27.147980000000043,43044.54,buy
0.02495,27.172930000000044,43044.0,buy
0.00129,27.174220000000044,43043.91,buy
0.00078,27.175000000000043,43043.87,buy
0.00122,27.176220000000043,43043.3,buy
0.00046,27.176680000000044,43042.74,buy
0.01109,27.187770000000043,43041.99,buy
0.00087,27.188640000000042,43041.81,buy
0.0006,27.18924000000004,43040.0,buy
0.00122,27.19046000000004,43038.97,buy
0.0041,27.194560000000042,43038.62,buy
0.00254,27.19710000000004,43037.08,buy
0.00046,27.197560000000042,43036.96,buy
0.0004,27.19796000000004,43035.5,buy
0.0101,27.208060000000042,43035.0,buy
0.00122,27.209280000000042,43034.64,buy
0.00028,27.209560000000042,43033.39,buy
0.00673,27.216290000000043,43033.24,buy
0.03456,27.250850000000042,43032.46,buy
0.00241,27.253260000000044,43031.9,buy
0.00046,27.253720000000044,43031.71,buy
0.00116,27.254880000000043,43031.29,buy
0.00122,27.256100000000043,43030.31,buy
0.00276,27.25886000000004,43029.88,buy
0.00028,27.25914000000004,43029.17,buy
0.00065,27.25979000000004,43028.69,buy
0.00024,27.260030000000043,43028.63,buy
0.00525,27.265280000000043,43027.63,buy
0.00125,27.266530000000042,43026.53,buy
0.00068,27.26721000000004,43026.29,buy
0.00122,27.26843000000004,43025.97,buy
0.01,27.278430000000043,43025.82,buy
0.00025,27.278680000000044,43025.64,buy
0.1501,27.428780000000042,43024.42,buy
0.00025,27.429030000000044,43024.09,buy
0.00046,27.429490000000044,43022.36,buy
0.00052,27.430010000000046,43022.22,buy
0.00048,27.430490000000045,43021.77,buy
2.073,29.503490000000046,43021.41,buy
0.2088,29.712290000000046,43021.3,buy
0.00125,29.713540000000044,43020.4,buy
0.0607,29.774240000000045,43020.0,buy
0.00129,29.775530000000046,43017.5,buy
0.49966,30.275190000000045,43015.23,buy
0.00102,30.276210000000045,43014.28,buy
0.00272,30.278930000000045,43014.03,buy
0.00046,30.279390000000046,43013.79,buy
0.00254,30.281930000000045,43012.37,buy
0.0006,30.282530000000044,43010.97,buy
